@relation 'trafico2011_15ming'

@attribute intensidad numeric
@attribute tocup numeric
@attribute vmed numeric
@attribute gap numeric
@attribute congestion {0,1}

@data
238,10,55,39,0
231,9,53,40,0
198,8,54,43,0
181,7,55,40,0
150,5,57,45,0
135,5,55,44,0
112,4,57,48,0
88,3,56,41,0
79,2,57,50,0
75,2,56,53,0
63,2,57,45,0
75,2,59,51,0
70,2,58,47,0
50,1,59,36,0
33,0,59,27,0
34,0,56,33,0
29,0,58,34,0
19,0,54,25,0
13,0,55,15,0
14,0,58,2,0
11,0,62,11,0
13,0,56,18,0
10,0,59,0,0
12,0,61,23,0
11,0,57,29,0
12,0,60,0,0
8,0,59,13,0
8,0,54,0,0
7,0,62,0,0
8,0,60,0,0
13,0,59,0,0
22,0,61,22,0
25,0,58,9,0
52,1,57,40,0
80,3,58,48,0
82,2,58,47,0
167,7,55,38,0
341,15,51,28,0
355,17,50,27,0
446,28,39,18,1
444,33,34,14,0
479,40,30,11,0
487,30,39,15,1
431,31,37,17,0
477,38,32,12,1
460,36,33,13,0
460,35,33,13,0
458,33,36,15,0
451,27,40,18,0
462,33,34,14,0
442,30,37,17,0
425,27,39,18,0
344,20,42,26,0
366,33,29,14,0
400,38,26,11,0
408,37,27,12,0
424,28,38,18,0
421,34,32,14,1
363,30,32,17,0
326,15,50,30,0
360,16,50,29,0
340,15,50,31,0
349,16,50,30,0
358,17,49,29,0
350,16,48,30,1
416,30,36,17,1
440,36,31,13,1
411,49,24,9,1
429,52,22,7,1
404,52,23,8,1
413,49,21,7,1
423,48,23,8,1
439,51,24,8,0
438,32,36,16,0
355,15,53,30,0
331,14,54,33,0
399,18,51,27,0
464,25,44,19,0
465,24,47,20,0
451,29,39,17,0
393,19,49,26,0
411,22,46,23,0
430,33,33,15,0
402,20,48,25,1
431,47,25,9,1
430,46,26,9,1
403,52,22,8,1
431,36,32,13,1
395,21,45,24,1
421,47,23,8,0
389,24,41,22,0
363,16,50,29,0
325,15,51,30,0
312,14,50,34,0
304,13,52,36,0
305,13,52,34,0
265,11,52,36,0
242,10,53,41,0
206,8,55,43,0
231,9,54,39,0
218,9,54,42,0
107,4,56,48,0
104,4,57,51,0
94,3,59,41,0
85,3,57,57,0
59,2,56,52,0
53,1,58,44,0
52,1,57,31,0
48,1,59,51,0
35,0,59,39,0
39,1,61,22,0
22,0,57,25,0
16,0,59,28,0
12,0,59,18,0
8,0,57,0,0
13,0,56,24,0
9,0,58,5,0
11,0,61,37,0
4,0,55,0,0
6,0,67,0,0
8,0,62,25,0
7,0,59,20,0
12,0,56,0,0
6,0,60,28,0
6,0,64,0,0
13,0,64,0,0
16,0,56,13,0
24,0,56,46,0
30,0,58,30,0
43,1,58,37,0
54,1,59,39,0
