CAMPAÑA,PROVINCIA,MUNICIPIO,CODPARCELA,_05_Comarca,_07_Zona_homogénea,_01_Superf_cultivada_en_la_Parcela_Agrícola_ha_,_02_Pendiente_,_03_Textura_del_Suelo,_04_Secano_Regadío,_08_Utilización_de_cubierta_vegetal,_01_Variedad,_02_Clon,_04_Patrón,_06_Formas_de_Poda,_07_Marco_m_x_m_,_08_Densidad_Plantas_ha_,_09_Sistemas_de_Conducción
2017,Cádiz,Jerez de la Frontera,111-00010-14,CAMPIÑA DE CADIZ,,"34,014",,Arcillo-limoso,Secano,No,Palomino Fino,,140 Ruggeri,Cordón doble,"1,20 X 2,30",,
2017,Cádiz,Jerez de la Frontera,111-00017-13-00,CAMPIÑA DE CADIZ,,"87,078",,,Secano,,Palomino Fino,,,,,,
2017,Cádiz,Jerez de la Frontera,146-00002-02,CAMPIÑA DE CADIZ,CA/VD/03,"61,995",10,Arcillo-limoso,Secano,No,Palomino de Jerez,,161-49 Couderc,Cordón doble,"2,30 X 1,15",3780,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,146-00003-04,CAMPIÑA DE CADIZ,CA/VD/03,"72,566",10,Arcillo-limoso,Secano,No,Palomino de Jerez,,161-49 Couderc,Cordón doble,"2,30 X 1,20",3623,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,146-00005-08-01,CAMPIÑA DE CADIZ,CA/VD/03,"95,828",12,Arcillo-limoso,Secano,No,Palomino de Jerez,,161-49 Couderc,Cordón doble,"2,40 X1,15",3623,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,146-00005-08-02,CAMPIÑA DE CADIZ,CA/VD/03,"52,676",12,Arcillo-limoso,Secano,No,Palomino de Jerez,,161-49 Couderc,Cordón doble,"2,40 X1,15",3623,Espaldera vertical
2017,Cádiz,Jerez de la Frontera,160-00006-11,CAMPIÑA DE CADIZ,CA/VD/03,"44,535",,Arcillo-limoso,Secano,No,Palomino de Jerez,,161-49 Couderc,Cordón doble,"2,30 X 1,20",3623,Espaldera vertical
2017,Cádiz,Trebujena,006-00068-02-00,CAMPIÑA DE CADIZ,CA/VD/04,"7,45",6,,Secano,No,Palomino Fino,,,,,,Espaldera vertical
2017,Cádiz,Trebujena,011-00128-00-00,CAMPIÑA DE CADIZ,CA/VD/04,"3,52",11,Franco-Limoso,Secano,No,Palomino Fino,,,,,,Espaldera vertical
2017,Córdoba,Aguilar,020-00031-01,CAMPIÑA ALTA,,,,Arcillo-arenoso,Secano,No,Pedro Ximenez,,,Cabeza,2 X 2,2500,Sin  apoyos
2017,Córdoba,Aguilar,029-00015-01,CAMPIÑA ALTA,,,,,Secano,,Pedro Ximenez,,,Vaso o redondo,,,Sin  apoyos
2017,Córdoba,Aguilar,031-00281-01,CAMPIÑA ALTA,,,,Arcillo.limoso,Secano,No,Pedro Ximenez,,,Vaso o redondo,,,Sin  apoyos
2017,Córdoba,Aguilar,062-00024-02,CAMPIÑA ALTA,,,,,Secano,,Pedro Ximenez,,,Cordón doble,,,Espaldera vertical
2017,Córdoba,Aguilar,063-00045-03,CAMPIÑA ALTA,,,,,Secano,,Pedro Ximenez,,,Cordón doble,,,Espaldera vertical
2017,Córdoba,Aguilar,ECB AGUIL,CAMPIÑA ALTA,SIN DEFINIR,1.24,0.,SIN DEFINIR,Secano,NO,Pedro Ximenez,,SIN DEFINIR,,,0.00,
2017,Córdoba,Montilla,00000000,CAMPIÑA ALTA - III,,,,,Regadio,,MONTEPILA,,,Cordón doble,,,Espaldera vertical
2017,Córdoba,Montilla,003-00070-01,CAMPIÑA ALTA - III,,,,,Secano,,Pedro Ximenez,,,Vaso o redondo,,,
